key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%),교육청금액,자치단체금액,보호자금액,보호자비율,금전및 유가증권금액,도서및 물품금액,수목시설및 재산금액,학교교육시설 보수확충금액,교육용기자재 및도서금액,학교체육학예 활동금액,학생복지및 자치활동지원금액,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S000003542-2021,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,12.6,무,시설없음,시설없음,무,무,무,0.0,0.0,0.0,1.0,0.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,30,0,0,346,15.0,8.0,31.0,10.0,0.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,12.0,32.0,0.0,3.0,8.0,8.0
S000003542-2022,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,12.6,무,시설없음,시설없음,무,무,무,0.0,0.0,0.0,1.0,0.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,29,0,120,352,15.0,10.0,17.0,10.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003542-2023,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,12.6,무,시설없음,시설없음,무,무,무,0.0,0.0,0.0,1.0,0.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3,0,4,0,95,334,10.0,10.0,10.0,10.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003542-2024,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,12.6,무,시설없음,시설없음,무,무,무,0.0,0.0,0.0,1.0,0.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3,0,4,0,104,309,10.0,10.0,10.0,5.0,2.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003545-2021,서울특별시 종로구,S000003545,서울농학교,0,0,0,68.0,5.2,31.0,0.0,10.0,1.0,3.0,1.3,무,무,무,무,무,시설없음,0.0,0.0,1.0,1.0,2.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,355872.0,3567.0,0.0,0.0,24300000.0,7460150.0,0.0,10996000.0,129600.0,0.0,13436200.0,0,0,0,0,0,0,0,0,68,10.0,10.0,10.0,6.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2022,서울특별시 종로구,S000003545,서울농학교,0,0,0,54.0,12.0,30.0,0.0,16.0,4.0,3.5,1.6,유,유,유,무,무,시설없음,0.0,0.0,1.0,1.0,2.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,246358.0,28133.0,0.0,0.0,51639000.0,28900000.0,0.0,10000000.0,0.0,0.0,49956000.0,0,0,0,0,0,0,0,0,54,6.0,6.0,6.0,3.0,3.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,50.0,20.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2023,서울특별시 종로구,S000003545,서울농학교,0,0,0,70.0,11.9,31.0,0.0,16.0,4.0,4.0,1.7,유,유,유,무,무,시설없음,0.0,0.0,1.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,416995.0,41048.0,0.0,0.0,22930000.0,14500000.0,0.0,0.0,0.0,0.0,23306500.0,0,0,0,0,0,0,0,0,70,6.0,6.0,6.0,4.0,2.0,4.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003545-2024,서울특별시 종로구,S000003545,서울농학교,0,0,0,71.0,9.7,33.0,0.0,15.0,6.0,3.0,1.9,유,유,유,무,무,시설없음,0.0,0.0,1.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,555914.0,41225.0,0.0,0.0,15950000.0,9010000.0,0.0,0.0,0.0,613910.0,15970000.0,0,0,0,0,0,0,0,0,71,10.0,10.0,10.0,11.0,2.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,47.0,25.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003553-2021,서울특별시 마포구,S000003553,한국우진학교,0,0,0,145.0,3.0,27.0,0.0,39.0,5.5,6.0,2.2,시설없음,유,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,275782.0,41702.0,0.0,0.0,3000000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,145,13.0,11.0,10.0,5.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003553-2022,서울특별시 마포구,S000003553,한국우진학교,0,0,0,149.0,6.6,28.0,0.0,38.0,5.0,5.0,2.3,시설없음,무,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,330328.0,72149.0,0.0,0.0,10000000.0,0.0,0.0,0.0,9987100.0,0.0,0.0,0,0,0,0,0,0,0,0,149,13.0,11.0,10.0,5.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003553-2023,서울특별시 마포구,S000003553,한국우진학교,0,0,0,149.0,4.8,28.0,0.0,33.0,4.5,5.5,2.2,시설없음,무,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,289726.0,85074.0,0.0,0.0,4115000.0,8108000.0,0.0,0.0,0.0,0.0,3752730.0,0,0,0,0,0,0,0,0,149,8.0,8.0,5.0,5.0,5.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003553-2024,서울특별시 마포구,S000003553,한국우진학교,0,0,0,148.0,3.4,30.0,0.0,36.0,6.5,5.0,2.4,시설없음,시설없음,시설없음,시설없음,시설없음,시설없음,1.0,0.0,0.0,1.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,551849.0,87765.0,0.0,0.0,5332000.0,7314000.0,0.0,0.0,0.0,0.0,5416950.0,31,68,68,68,121,180,180,180,148,8.0,8.0,5.0,5.0,5.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003561-2021,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,717.0,2.2,4.0,0.0,9.0,8.0,0.0,11.6,시설없음,시설없음,시설없음,시설없음,시설없음,시설없음,0.0,1.0,1.0,1.0,0.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,223413.0,133663.0,147543.0,27.7,73423518.0,3371500.0,0.0,10672570.0,9910660.0,7937947.0,35548060.0,0,2,0,0,0,13,0,0,717,7.0,12.0,18.0,6.0,6.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,668.0,0.0,50.0,11.0,2.0,21.0,50.0,57.0
S000003561-2022,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,709.0,6.6,4.0,0.0,7.0,7.7,0.0,9.7,유,무,무,무,무,무,0.0,0.0,1.0,2.0,0.0,0.0155586987270155,0.1541725601131541,0.4087694483734088,0.3394625176803394,0.082036775106082,177945.0,184450.0,0.0,0.0,39143667.0,70000000.0,0.0,18000.0,8468540.0,2000000.0,23490900.0,0,2,0,0,0,12,0,0,709,8.0,9.0,19.0,5.0,5.0,3.0,6.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,678.0,41.0,50.0,11.0,2.0,21.0,14.0,49.0
S000003561-2023,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,677.0,11.6,4.0,0.0,14.0,7.3,0.0,10.6,유,무,무,무,무,무,0.0,0.0,1.0,2.0,0.0,0.032069970845481,0.2565597667638484,0.4635568513119533,0.2084548104956268,0.0393586005830903,236767.0,232082.0,0.0,0.0,127032909.0,0.0,0.0,17255.0,9355570.0,6400000.0,23015340.0,2,0,0,1,15,0,0,20,677,11.0,12.0,12.0,7.0,2.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,547.0,57.0,50.0,11.0,2.0,21.0,0.0,43.0
S000003561-2024,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,0,1,0,711.0,12.3,5.0,0.0,13.0,6.0,0.0,10.9,무,무,무,무,무,무,0.0,1.0,1.0,2.0,0.0,0.0332369942196531,0.2760115606936416,0.4595375722543353,0.2008670520231213,0.0303468208092485,236767.0,232082.0,0.0,0.0,81656704.0,75000000.0,0.0,822746.0,31947920.0,46000000.0,49761085.0,4,0,5,0,20,0,250,0,711,13.0,8.0,23.0,5.0,3.0,2.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,773.0,22.0,50.0,11.0,2.0,21.0,0.0,47.0
S000003562-2021,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,1,405.0,1.7,3.0,0.0,5.0,7.0,0.0,8.6,무,시설없음,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0332369942196531,0.2760115606936416,0.4595375722543353,0.2008670520231213,0.0303468208092485,158078.0,57853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,5,0,17,0,397,397,16.0,5.0,9.0,3.0,3.0,5.0,3.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,단순설치,미설치,단순설치,388.0,37.0,0.0,29.0,0.0,20.0,8.0,8.0
S000003562-2022,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,0,406.0,6.7,3.0,0.0,6.0,7.0,0.0,8.2,무,시설없음,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0371287128712871,0.3811881188118812,0.4455445544554455,0.1262376237623762,0.0099009900990099,240151.0,111104.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0,2,5,5,0,19,398,79,399,16.0,5.0,9.0,3.0,3.0,5.0,3.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,364.0,0.0,0.0,29.0,0.0,12.0,12.0,54.0
S000003562-2023,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,0,362.0,8.7,3.0,0.0,6.0,7.0,0.0,8.2,무,시설없음,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0196078431372549,0.3725490196078431,0.5238095238095238,0.0812324929971988,0.0028011204481792,188730.0,188294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,5,0,20,364,79,355,16.0,18.0,18.0,10.0,8.0,3.0,6.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,329.0,17.0,19.0,3.0,0.0,17.0,20.0,59.0
S000003562-2024,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,0,0,335.0,10.8,3.0,0.0,6.0,5.0,0.0,6.7,무,무,무,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.0181818181818181,0.3515151515151515,0.4909090909090909,0.1242424242424242,0.0151515151515151,194602.0,197872.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,5575470.0,0,2,5,5,0,20,335,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,391.0,14.0,19.0,11.0,0.0,17.0,22.0,62.0
S000003563-2021,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,0,0,627.0,0.3,3.0,0.0,8.0,4.0,0.0,16.3,시설없음,무,무,무,무,무,0.0,0.0,1.0,2.0,1.0,0.0181818181818181,0.3515151515151515,0.4909090909090909,0.1242424242424242,0.0151515151515151,142269.0,139776.0,0.0,0.0,140.0,2000000.0,0.0,0.0,0.0,0.0,401369.0,39,0,0,0,623,0,0,0,620,4.0,0.0,4.0,0.0,1.0,0.0,0.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,171.0,0.0,33.0,1.0,0.0,2.0,8.0,8.0
S000003563-2022,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,1,0,621.0,3.4,5.0,0.0,9.0,6.0,0.0,17.0,시설없음,무,무,무,무,무,0.0,0.0,1.0,2.0,1.0,0.0095693779904306,0.2870813397129186,0.5645933014354066,0.138755980861244,0.0,236107.0,237456.0,0.0,0.0,5714310.0,4091200.0,0.0,1499000.0,300000.0,0.0,0.0,2,35,35,35,70,617,617,617,617,4.0,4.0,4.0,4.0,4.0,4.0,4.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,500.0,0.0,33.0,1.0,0.0,2.0,0.0,26.0
S000003563-2023,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,1,0,613.0,6.7,4.0,0.0,10.0,7.0,0.0,16.1,무,무,무,무,무,무,0.0,0.0,1.0,2.0,1.0,0.0245098039215686,0.3382352941176471,0.4558823529411764,0.1813725490196078,0.0,370165.0,289611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,30,33,77,610,610,610,607,12.0,11.0,8.0,10.0,4.0,2.0,2.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,333.0,19.0,33.0,1.0,0.0,2.0,2.0,26.0
