key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y,s1,s2,s3,s4
S010000967-2021,서울특별시 양천구,S010000967,강신중학교,유,무,시설없음,15.3,2.1592020592020598,0,0,0,1.773101673101673,6.0,3.0,8.0,4.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음,10.111132388415331,3.286365185341453,0.6752097569060147,29.1,16.1
S010000967-2022,서울특별시 양천구,S010000967,강신중학교,유,무,시설없음,15.6,8.810407239819003,0,0,0,1.5705882352941176,14.0,14.0,8.0,3.0,5.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음,11.558920527701336,3.225725110674994,1.6605171102354503,49.1,16.1
S010000967-2023,서울특별시 양천구,S010000967,강신중학교,유,무,시설없음,15.4,7.004231625835189,0,0,0,1.547661469933185,11.0,9.0,7.0,7.0,2.0,3.0,7.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음,11.327283267822082,3.2183725312890137,1.4992785145400467,46.1,16.1
S010000967-2024,서울특별시 양천구,S010000967,강신중학교,유,무,시설없음,12.0,6.849156355455568,0,0,0,1.5623172103487066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,미설치,유,유,시설없음,5.106327877951653,3.2230850552041344,1.471133171920685,0.1,15.1
S010000968-2021,서울특별시 강서구,S010000968,경서중학교,유,유,시설없음,6.3,8.891208791208792,1,0,1,13.286813186813188,5.0,5.0,4.0,4.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,미설치,미설치,단순설치,유,유,시설없음,14.064515063277277,5.2933860268316755,2.6215715902777355,29.1,16.1
S010000968-2022,서울특별시 강서구,S010000968,경서중학교,유,유,시설없음,6.0,18.61851851851852,1,0,1,14.914814814814813,5.0,5.0,4.0,4.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,유,시설없음,14.90768638233335,5.351177500926539,3.1364976667473434,29.1,21.1
S010000968-2023,서울특별시 강서구,S010000968,경서중학교,유,유,시설없음,4.8,17.001408450704226,1,0,1,18.40985915492958,5.0,5.0,4.0,4.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,유,시설없음,14.938192516396292,5.456443172375096,3.0617381293617285,29.1,21.1
S010000968-2024,서울특별시 강서구,S010000968,경서중학교,무,무,시설없음,4.0,23.31428571428572,1,0,0,23.31428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,7.641186785755288,3.574533146737347,3.27366112348828,0.1,22.1
S010000970-2021,서울특별시 강서구,S010000970,공항중학교,유,유,유,13.1,3.2496062992125982,1,0,0,9.351968503937009,8.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음,14.3030792494926,6.117793428160802,1.9536043067203164,28.1,18.1
S010000970-2022,서울특별시 강서구,S010000970,공항중학교,유,유,유,13.7,7.999807321772639,1,0,0,9.155876685934487,8.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음,14.925341492823208,6.107197966942063,2.586462011269665,28.1,18.1
S010000970-2023,서울특별시 강서구,S010000970,공항중학교,유,유,유,12.3,7.626881720430108,1,0,0,8.522939068100358,8.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음,14.850717451468991,6.071380621200243,2.547655315657268,28.1,18.1
S010000970-2024,서울특별시 강서구,S010000970,공항중학교,유,유,유,12.9,8.465019011406843,1,0,0,9.035361216730038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,유,유,시설없음,9.316920745352908,6.10057295148029,2.623020948594884,0.1,18.1
S010000971-2021,서울특별시 양천구,S010000971,금옥중학교,무,무,무,13.6,2.1860495436766625,0,0,0,2.055671447196871,10.0,10.0,10.0,3.0,7.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,무,시설없음,7.942731848611084,0.36030126643808996,0.6779707271406545,45.1,22.1
S010000971-2022,서울특별시 양천구,S010000971,금옥중학교,무,무,무,13.7,7.374969173859433,0,0,0,1.9495684340320596,16.0,8.0,10.0,7.0,4.0,4.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,시설없음,무,시설없음,8.746810845685326,0.3338040161003434,1.5295339973227384,51.1,19.1
S010000971-2023,서울특별시 양천구,S010000971,금옥중학교,무,무,무,11.4,8.486277001270647,0,0,0,2.005972045743329,10.0,10.0,10.0,10.0,2.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,시설없음,유,시설없음,9.768621652782116,1.348064377060139,1.6185959396470193,47.1,19.1
S010000971-2024,서울특별시 양천구,S010000971,금옥중학교,무,무,무,11.6,8.305128205128204,0,0,0,2.023076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,시설없음,유,시설없음,3.6037745138585917,1.352309790861091,1.604361480938962,0.1,19.1
S010000972-2021,서울특별시 강서구,S010000972,덕원중학교,무,무,시설없음,19.4,2.205263157894737,0,0,0,1.4157894736842105,14.3,4.0,9.0,2.0,2.0,2.0,4.3,미설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,시설없음,시설없음,무,6.597224256589655,0.17384365372067648,0.7018564467366202,37.699999999999996,8.1
S010000972-2022,서울특별시 강서구,S010000972,덕원중학교,무,무,시설없음,19.4,5.554545454545454,0,0,0,1.3987012987012988,11.0,5.0,13.6,2.0,2.3,2.3,5.3,단순설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,시설없음,시설없음,무,7.452641930613241,0.16777208115432954,1.3484952686688894,41.599999999999994,9.1
S010000972-2023,서울특별시 강서구,S010000972,덕원중학교,무,무,시설없음,18.700000000000003,6.4471502590673575,0,0,0,1.3953367875647669,13.0,8.0,15.0,5.0,2.0,2.0,5.0,단순설치,미설치,단순설치,미설치,단순설치,미설치,단순설치,단순설치,미설치,미설치,미설치,시설없음,시설없음,무,7.16080237848415,0.16656790545633385,1.450972925206717,50.1,5.1
S010000972-2024,서울특별시 강서구,S010000972,덕원중학교,무,무,시설없음,18.5,5.752759084791386,0,0,0,1.4458950201884253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,단순설치,미설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,적정설치,적정설치,미설치,시설없음,시설없음,무,1.5649788343237725,0.18436426047736879,1.3706642429932354,0.1,10.1
S010000973-2021,서울특별시 강서구,S010000973,등명중학교,유,무,유,16.200000000000003,2.418840579710145,0,0,0,1.984057971014493,13.0,10.0,10.0,4.0,8.0,4.0,4.0,단순설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,단순설치,유,무,시설없음,10.565506885060447,3.342572113848572,0.757552390361288,53.1,12.1
S010000973-2022,서울특별시 강서구,S010000973,등명중학교,유,무,무,13.9,8.34891461649783,0,0,0,1.981331403762663,12.0,12.0,11.0,3.0,6.0,3.0,3.0,단순설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,단순설치,무,무,시설없음,9.366197506192343,1.3418845224360203,1.617086523062809,50.1,12.1
S010000973-2023,서울특별시 강서구,S010000973,등명중학교,유,무,유,12.6,8.728659476117103,0,0,0,2.1030816640986134,10.0,11.0,10.0,10.0,6.0,4.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,무,시설없음,11.955537488728009,3.37170186407903,1.643313103743958,54.1,19.1
S010000973-2024,서울특별시 강서구,S010000973,등명중학교,유,무,유,12.6,8.461774744027302,0,0,0,2.318430034129693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,무,시설없음,5.788709164340538,3.4204451235900946,1.621576093262469,0.1,21.1
S010000974-2021,서울특별시 강서구,S010000974,등원중학교,유,유,유,7.199999999999999,5.542176870748299,1,0,1,5.20204081632653,10.0,10.0,11.0,6.0,5.0,4.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,유,유,시설없음,14.891094825696818,5.824525506635721,2.297375203677602,48.1,18.1
S010000974-2022,서울특별시 강서구,S010000974,등원중학교,유,유,시설없음,7.399999999999999,13.753136531365314,1,0,1,10.43210332103321,8.0,8.0,5.0,4.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,유,유,시설없음,14.374054903777244,5.172443954687699,2.9349608366403177,29.1,18.1
S010000974-2023,서울특별시 강서구,S010000974,등원중학교,유,유,시설없음,7.899999999999999,11.718257261410788,1,0,1,12.133195020746887,8.0,8.0,5.0,4.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,유,무,시설없음,13.340769446365467,4.2479725432603095,2.826146790655931,29.1,18.1
S010000974-2024,서울특별시 강서구,S010000974,등원중학교,유,유,시설없음,11.6,10.250375939849624,1,0,1,11.002255639097744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,유,무,시설없음,7.544047322500896,4.1990501549383135,2.7516703222848475,0.1,18.1
S010000975-2021,서울특별시 강서구,S010000975,등촌중학교,유,유,시설없음,10.6,4.569273743016759,0,0,0,1.4966480446927375,10.0,9.0,9.0,2.0,1.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,11.96177510191242,4.201613985354904,1.1815906917860222,34.1,21.1
S010000975-2022,서울특별시 강서구,S010000975,등촌중학교,유,유,시설없음,11.8,10.516666666666667,0,0,0,1.588095238095238,10.0,10.0,10.0,6.0,4.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,12.903291595620457,4.231267667319105,1.7704778867969597,47.1,21.1
