key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
S010001003-2021,서울특별시 강서구,S010001003,화원중학교,무,무,무,11.6,2.977697841726619,0,0,0,1.718705035971223,11.6,8.6,11.6,3.0,6.6,4.6,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,무,무,시설없음
S010001003-2022,서울특별시 강서구,S010001003,화원중학교,무,무,무,12.4,7.256308851224105,0,0,0,1.7949152542372881,8.0,7.0,6.0,2.7,2.7,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,무,무,시설없음
S010001003-2023,서울특별시 강서구,S010001003,화원중학교,무,무,무,11.9,7.444632768361582,0,0,0,1.7949152542372881,7.9,7.1,6.0,2.8,2.6,1.0,1.0,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,무,무,시설없음
S010001003-2024,서울특별시 강서구,S010001003,화원중학교,무,무,무,12.6,12.967647058823529,0,0,0,1.7544117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,단순설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,유,유,시설없음
S010001004-2021,서울특별시 강서구,S010001004,서울가곡초등학교,유,유,시설없음,21.0,2.06078431372549,0,0,0,0.7127450980392157,17.0,11.0,11.0,6.0,6.0,2.0,4.0,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음
S010001004-2022,서울특별시 강서구,S010001004,서울가곡초등학교,무,무,무,19.1,3.097601918465228,0,0,0,0.6995203836930456,11.0,10.0,10.0,4.0,4.0,1.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,미설치,단순설치,단순설치,미설치,미설치,단순설치,무,무,시설없음
S010001004-2023,서울특별시 강서구,S010001004,서울가곡초등학교,무,무,무,17.900000000000002,3.1848329048843187,0,0,0,0.8712082262210796,12.0,11.0,14.0,10.0,10.0,2.5,3.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,무,무,시설없음
S010001004-2024,서울특별시 강서구,S010001004,서울가곡초등학교,무,무,무,17.8,3.1136986301369864,0,0,0,0.921917808219178,16.0,11.0,11.0,5.0,6.2,2.0,3.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,무,유,시설없음
S010001005-2021,서울특별시 강서구,S010001005,서울가양초등학교,유,유,시설없음,8.799999999999999,6.525702811244979,0,0,0,3.3128514056224896,9.0,10.0,3.0,2.0,3.0,2.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,시설없음,시설없음
S010001005-2022,서울특별시 강서구,S010001005,서울가양초등학교,유,유,시설없음,9.299999999999999,6.090783410138248,0,0,0,3.786635944700461,10.0,10.0,8.0,2.0,6.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,시설없음,시설없음
