key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,보호자비율,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000767-2022,서울특별시 서초구,S010000767,서울신동초등학교,0,0,0,1365.0,5.3,22.8,유,시설없음,무,무,무,시설없음,0.0,0,0,2,0,0,0,44,0,1365,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,467.0,5.0,49.0,0.0,0.0,2.0,3.0,49.0
S010000767-2023,서울특별시 서초구,S010000767,서울신동초등학교,0,0,0,1279.0,8.3,19.1,유,시설없음,무,무,무,시설없음,0.0,0,0,2,0,0,0,40,0,1279,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,473.0,6.0,49.0,0.0,0.0,2.0,0.0,49.0
S010000767-2024,서울특별시 서초구,S010000767,서울신동초등학교,0,0,0,1164.0,9.9,20.0,유,시설없음,무,무,무,시설없음,0.0,0,0,49,0,0,0,1142,0,1164,10.0,10.0,10.0,5.0,5.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,557.0,31.0,49.0,0.0,0.0,2.0,0.0,49.0
S010000768-2021,서울특별시 서초구,S010000768,서울신중초등학교,0,0,0,928.0,1.3,21.7,유,무,시설없음,무,무,시설없음,0.0,1,0,0,0,48,0,0,0,920,12.0,11.0,12.0,5.0,4.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,37.0,0.0,0.0,4.0,8.0,8.0
S010000768-2022,서울특별시 서초구,S010000768,서울신중초등학교,0,0,0,931.0,6.1,20.6,유,무,시설없음,무,무,시설없음,0.0,1,0,1,0,33,0,15,0,925,12.0,11.0,12.0,5.0,4.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,68.0,37.0,2.0,0.0,2.0,4.0,27.0
S010000768-2023,서울특별시 서초구,S010000768,서울신중초등학교,0,0,0,885.0,13.2,18.9,유,유,시설없음,유,유,시설없음,0.0,2,0,0,0,46,0,0,0,879,12.0,11.0,10.0,8.0,1.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,76.0,37.0,2.0,0.0,2.0,1.0,36.0
S010000768-2024,서울특별시 서초구,S010000768,서울신중초등학교,0,0,0,833.0,10.3,18.0,유,무,시설없음,무,무,시설없음,0.0,2,0,36,1,56,0,830,830,828,12.0,11.4,8.5,10.0,2.0,2.2,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,20.0,37.0,2.0,0.0,2.0,1.0,36.0
S010000769-2021,서울특별시 강남구,S010000769,서울압구정초등학교,0,0,0,1009.0,1.0,22.6,무,무,무,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,1009,10.5,10.0,10.0,5.0,5.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S010000769-2022,서울특별시 강남구,S010000769,서울압구정초등학교,0,0,0,973.0,8.8,20.8,무,무,무,무,무,시설없음,0.0,1,0,0,0,5,0,0,0,973,11.0,9.0,4.0,2.0,3.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,254.0,0.0,37.0,0.0,0.0,4.0,0.0,25.0
S010000769-2023,서울특별시 강남구,S010000769,서울압구정초등학교,0,0,0,915.0,9.9,21.0,유,무,무,무,무,시설없음,0.0,1,0,0,1,80,0,0,5,915,19.0,16.0,14.0,4.0,4.0,4.0,7.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,255.0,0.0,37.0,0.0,0.0,4.0,0.0,16.0
S010000769-2024,서울특별시 강남구,S010000769,서울압구정초등학교,0,0,0,862.0,12.9,19.2,유,무,무,무,무,시설없음,7.3,1,0,37,0,80,0,888,0,862,9.0,9.0,8.0,6.0,5.0,2.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,255.0,0.0,37.0,0.0,0.0,4.0,0.0,19.0
S010000770-2021,서울특별시 서초구,S010000770,서울양재초등학교,0,0,0,623.0,0.9,18.3,유,유,시설없음,유,유,시설없음,0.0,35,1,0,0,615,84,0,0,610,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,0.0,6.0,29.0,0.0,0.0,5.0,8.0,8.0
S010000770-2022,서울특별시 서초구,S010000770,서울양재초등학교,0,0,0,623.0,4.6,18.2,유,유,시설없음,유,유,시설없음,0.0,2,38,27,38,26,615,615,615,615,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,0.0,4.0,27.0,0.0,0.0,8.0,1.0,25.0
S010000770-2023,서울특별시 서초구,S010000770,서울양재초등학교,0,0,0,582.0,10.6,16.2,유,유,시설없음,유,유,시설없음,0.0,2,36,27,36,36,574,574,574,574,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,0.0,6.0,27.0,0.0,0.0,8.0,0.0,23.0
S010000770-2024,서울특별시 서초구,S010000770,서울양재초등학교,0,0,0,533.0,15.7,14.9,유,유,시설없음,유,유,시설없음,0.0,2,36,27,36,36,592,592,592,524,12.0,11.0,8.0,10.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,0.0,4.0,25.0,0.0,0.0,9.0,7.0,17.0
S010000771-2021,서울특별시 강남구,S010000771,서울양전초등학교,0,0,1,543.0,0.3,18.8,유,유,시설없음,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,535,10.0,8.0,5.0,6.0,6.0,2.0,2.0,적정설치,적정설치,단순설치,적정설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,0.0,0.0,27.0,0.0,0.0,4.0,8.0,8.0
S010000771-2022,서울특별시 강남구,S010000771,서울양전초등학교,0,0,0,563.0,3.5,18.2,유,유,시설없음,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,556,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,단순설치,적정설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,0.0,0.0,27.0,0.0,0.0,4.0,0.0,25.0
S010000771-2023,서울특별시 강남구,S010000771,서울양전초등학교,0,0,0,563.0,5.0,14.4,유,유,시설없음,무,무,시설없음,0.0,0,0,22,0,0,0,460,0,556,10.0,10.0,10.0,5.0,5.0,4.0,2.0,적정설치,적정설치,단순설치,적정설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,0.0,0.0,27.0,0.0,0.0,4.0,0.0,22.0
S010000771-2024,서울특별시 강남구,S010000771,서울양전초등학교,0,0,0,402.0,6.7,13.7,유,유,시설없음,무,무,시설없음,0.0,2,0,22,4,40,0,405,80,395,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,단순설치,적정설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,0.0,0.0,18.0,8.0,0.0,5.0,0.0,20.0
S010000772-2021,서울특별시 서초구,S010000772,서울언남초등학교,0,0,0,1153.0,2.0,21.4,유,시설없음,무,무,무,무,0.0,1,1,0,0,8,8,0,0,1136,10.0,10.0,14.0,6.0,4.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,900.0,1.0,51.0,12.0,0.0,5.0,8.0,8.0
S010000772-2022,서울특별시 서초구,S010000772,서울언남초등학교,0,0,0,1196.0,7.4,19.1,무,시설없음,무,무,무,무,3.2,1,1,2,2,5,5,1128,1128,1181,10.0,9.0,3.1,2.8,3.0,0.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,997.0,50.0,51.0,12.0,0.0,5.0,0.0,23.0
