key,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000399-2023,863.0,71.0,29.0,0.0,4.0,11.0,0.0,43.0
S010000399-2024,450.0,50.0,29.0,0.0,4.0,11.0,0.0,43.0
S010000400-2021,186.0,12.0,30.0,7.0,0.0,4.0,37.0,41.0
S010000400-2022,246.0,0.0,30.0,7.0,0.0,4.0,6.0,39.0
S010000400-2023,284.0,0.0,30.0,7.0,0.0,4.0,0.0,40.0
S010000400-2024,744.0,0.0,30.0,7.0,0.0,4.0,0.0,37.0
S010000401-2021,250.0,109.0,31.0,10.0,0.0,6.0,2.0,41.0
S010000401-2022,324.0,105.0,31.0,10.0,0.0,6.0,1.0,40.0
S010000401-2023,303.0,95.0,31.0,10.0,0.0,6.0,0.0,43.0
S010000401-2024,369.0,27.0,31.0,10.0,0.0,6.0,0.0,46.0
S010000402-2021,265.0,2.0,30.0,6.0,3.0,13.0,30.0,46.0
S010000402-2022,462.0,13.0,29.0,6.0,3.0,13.0,12.0,43.0
S010000402-2023,490.0,14.0,29.0,6.0,3.0,13.0,1.0,43.0
S010000402-2024,639.0,20.0,29.0,6.0,3.0,13.0,1.0,51.0
S010000403-2021,0.0,0.0,30.0,1.0,0.0,7.0,12.0,43.0
S010000403-2022,0.0,0.0,30.0,1.0,0.0,7.0,2.0,46.0
S010000403-2023,312.0,27.0,29.0,1.0,0.0,7.0,4.0,42.0
S010000403-2024,0.0,0.0,28.0,2.0,0.0,7.0,8.0,41.0
S010000404-2021,268.0,13.0,26.0,8.0,0.0,9.0,25.0,46.0
S010000404-2022,296.0,12.0,26.0,8.0,0.0,9.0,10.0,47.0
S010000404-2023,316.0,82.0,26.0,8.0,0.0,9.0,7.0,48.0
S010000404-2024,324.0,81.0,26.0,8.0,0.0,9.0,2.0,42.0
S010000405-2021,204.0,0.0,43.0,0.0,6.0,13.0,17.0,48.0
S010000405-2022,403.0,0.0,43.0,0.0,6.0,13.0,10.0,51.0
S010000405-2023,864.0,4.0,43.0,0.0,6.0,13.0,3.0,50.0
S010000405-2024,751.0,0.0,39.0,4.0,6.0,13.0,3.0,45.0
S010000406-2021,157.0,11.0,27.0,10.0,0.0,11.0,41.0,46.0
S010000406-2022,124.0,4.0,27.0,10.0,0.0,11.0,14.0,47.0
S010000406-2023,131.0,20.0,27.0,10.0,0.0,11.0,0.0,48.0
S010000406-2024,128.0,5.0,27.0,10.0,0.0,11.0,0.0,48.0
S010000407-2021,556.0,30.0,28.0,11.0,4.0,24.0,32.0,39.0
S010000407-2022,473.0,0.0,26.0,12.0,4.0,24.0,26.0,42.0
S010000407-2023,512.0,0.0,24.0,12.0,4.0,24.0,2.0,44.0
S010000407-2024,372.0,5.0,25.0,12.0,2.0,22.0,0.0,36.0
S010000408-2021,291.0,24.0,32.0,6.0,0.0,2.0,28.0,46.0
S010000408-2022,333.0,0.0,33.0,3.0,3.0,5.0,11.0,49.0
S010000408-2023,366.0,0.0,33.0,3.0,1.0,7.0,5.0,37.0
S010000408-2024,452.0,14.0,31.0,4.0,1.0,7.0,5.0,42.0
S010000409-2021,93.0,7.0,26.0,13.0,0.0,10.0,16.0,39.0
S010000409-2022,203.0,26.0,24.0,12.0,0.0,12.0,9.0,37.0
S010000409-2023,184.0,19.0,24.0,0.0,0.0,12.0,0.0,39.0
S010000409-2024,152.0,26.0,24.0,3.0,0.0,10.0,0.0,37.0
S010000410-2021,480.0,10.0,30.0,11.0,8.0,13.0,23.0,50.0
S010000410-2022,253.0,5.0,30.0,11.0,8.0,13.0,9.0,49.0
S010000410-2023,508.0,74.0,30.0,11.0,8.0,13.0,1.0,50.0
S010000410-2024,510.0,40.0,30.0,11.0,8.0,13.0,0.0,46.0
S010000411-2021,842.0,61.0,29.0,5.0,0.0,15.0,22.0,50.0
S010000411-2022,723.0,0.0,29.0,5.0,0.0,15.0,13.0,60.0
S010000411-2023,886.0,0.0,29.0,5.0,0.0,15.0,0.0,50.0
S010000411-2024,773.0,0.0,26.0,3.0,0.0,12.0,0.0,51.0
S010000412-2021,540.0,0.0,28.0,7.0,0.0,11.0,48.0,48.0
S010000412-2022,584.0,0.0,28.0,7.0,0.0,11.0,30.0,48.0
S010000412-2023,669.0,0.0,28.0,7.0,0.0,11.0,0.0,45.0
S010000412-2024,564.0,3.0,28.0,7.0,0.0,11.0,0.0,45.0
S010000413-2021,0.0,0.0,40.0,4.0,0.0,2.0,13.0,62.0
S010000413-2022,0.0,0.0,40.0,4.0,0.0,2.0,4.0,55.0
S010000413-2023,0.0,0.0,40.0,4.0,0.0,2.0,2.0,57.0
S010000413-2024,0.0,0.0,40.0,4.0,0.0,2.0,3.0,59.0
S010000414-2021,134.0,96.0,43.0,3.0,0.0,19.0,36.0,66.0
S010000414-2022,177.0,2.0,43.0,3.0,0.0,19.0,10.0,55.0
S010000414-2023,146.0,0.0,43.0,3.0,0.0,19.0,7.0,53.0
S010000414-2024,197.0,0.0,43.0,3.0,0.0,19.0,0.0,53.0
S010000415-2021,116.0,0.0,39.0,4.0,2.0,8.0,57.0,62.0
S010000415-2022,140.0,13.0,39.0,4.0,2.0,8.0,13.0,56.0
S010000415-2023,178.0,4.0,39.0,7.0,0.0,7.0,0.0,55.0
S010000415-2024,0.0,0.0,38.0,7.0,0.0,7.0,0.0,54.0
S010000416-2021,456.0,11.0,27.0,3.0,0.0,24.0,21.0,38.0
S010000416-2022,561.0,36.0,27.0,0.0,0.0,27.0,18.0,44.0
S010000416-2023,423.0,5.0,27.0,0.0,0.0,27.0,10.0,41.0
S010000416-2024,534.0,5.0,27.0,0.0,0.0,27.0,4.0,45.0
S010000417-2021,350.0,30.0,26.0,3.0,4.0,1.0,61.0,57.0
S010000417-2022,375.0,35.0,26.0,3.0,4.0,1.0,23.0,54.0
S010000417-2023,504.0,101.0,26.0,3.0,4.0,1.0,0.0,59.0
S010000417-2024,368.0,130.0,25.0,4.0,4.0,0.0,0.0,50.0
S010000418-2021,183.0,0.0,45.0,0.0,0.0,8.0,57.0,77.0
S010000418-2022,222.0,0.0,45.0,0.0,0.0,8.0,9.0,62.0
S010000418-2023,228.0,0.0,45.0,0.0,0.0,8.0,0.0,56.0
S010000418-2024,195.0,0.0,45.0,0.0,0.0,8.0,0.0,60.0
S010000419-2021,182.0,84.0,33.0,4.0,1.0,2.0,37.0,41.0
S010000419-2022,301.0,49.0,27.0,7.0,1.0,7.0,12.0,43.0
S010000419-2023,258.0,71.0,27.0,7.0,1.0,7.0,0.0,39.0
