key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%)
S010002299-2022,서울특별시 강북구,S010002299,서울삼각산초등학교,0,0,0,1168.0,3.1,5.0,0.0,19.0,0.0,0.0,19.8,유,무,시설없음,무,무,무,0.0,0.0,1.0,1.0,2.0,0.009828009828009828,0.3366093366093366,0.5233415233415234,0.13022113022113022,0.0
S010002299-2023,서울특별시 강북구,S010002299,서울삼각산초등학교,0,0,0,1090.0,4.5,5.0,0.0,18.0,0.0,0.0,19.3,무,무,시설없음,무,무,무,0.0,0.0,1.0,2.0,1.0,0.05,0.45789473684210524,0.4052631578947368,0.0868421052631579,0.0
S010002299-2024,서울특별시 강북구,S010002299,서울삼각산초등학교,0,0,0,1021.0,6.8,5.0,0.0,19.0,0.0,0.0,18.4,무,무,시설없음,무,무,무,0.0,0.0,1.0,2.0,1.0,0.04381443298969072,0.3917525773195876,0.42783505154639173,0.13402061855670103,0.002577319587628866
S010002300-2021,서울특별시 성북구,S010002300,서울삼선초등학교,0,0,0,699.0,0.7,6.0,0.0,16.0,2.0,0.0,18.2,무,시설없음,무,무,무,시설없음,0.0,1.0,0.0,1.0,1.0,0.04381443298969072,0.3917525773195876,0.42783505154639173,0.13402061855670103,0.002577319587628866
S010002300-2022,서울특별시 성북구,S010002300,서울삼선초등학교,0,0,0,656.0,5.5,5.0,0.0,15.0,2.0,0.0,16.7,유,시설없음,유,무,무,시설없음,0.0,1.0,0.0,1.0,1.0,0.0945945945945946,0.43243243243243246,0.40540540540540543,0.06306306306306306,0.0045045045045045045
S010002300-2023,서울특별시 성북구,S010002300,서울삼선초등학교,0,0,0,618.0,9.5,6.0,0.0,14.0,1.0,0.0,17.0,시설없음,시설없음,시설없음,시설없음,시설없음,시설없음,0.0,1.0,0.0,1.0,2.0,0.1638655462184874,0.4579831932773109,0.3403361344537815,0.03361344537815126,0.004201680672268907
S010002300-2024,서울특별시 성북구,S010002300,서울삼선초등학교,0,0,0,560.0,12.9,5.0,0.0,15.0,2.0,0.0,16.1,유,시설없음,무,무,무,시설없음,0.0,1.0,0.0,1.0,2.0,0.1762114537444934,0.3876651982378855,0.32599118942731276,0.10572687224669604,0.004405286343612335
S010002301-2021,서울특별시 강북구,S010002301,서울삼양초등학교,0,0,0,537.0,0.2,4.0,0.0,15.0,2.5,0.0,14.2,유,무,시설없음,유,무,무,0.0,0.0,0.0,1.0,1.0,0.1762114537444934,0.3876651982378855,0.32599118942731276,0.10572687224669604,0.004405286343612335
S010002301-2022,서울특별시 강북구,S010002301,서울삼양초등학교,0,0,0,468.0,4.2,5.0,0.0,16.0,2.5,0.0,14.7,유,무,시설없음,유,무,무,0.0,0.0,0.0,2.0,1.0,0.08280254777070063,0.4140127388535032,0.445859872611465,0.05732484076433121,0.0
S010002301-2023,서울특별시 강북구,S010002301,서울삼양초등학교,0,0,0,455.0,7.8,6.0,0.0,16.0,4.5,0.0,14.5,유,무,시설없음,유,무,무,0.0,0.0,0.0,1.0,1.0,0.08227848101265822,0.4177215189873418,0.4240506329113924,0.0759493670886076,0.0
S010002301-2024,서울특별시 강북구,S010002301,서울삼양초등학교,0,0,0,451.0,8.1,5.0,0.0,16.0,6.0,0.0,13.2,유,무,시설없음,유,무,무,0.0,0.0,0.0,1.0,1.0,0.05194805194805195,0.37012987012987014,0.3961038961038961,0.17532467532467533,0.006493506493506494
S010002302-2021,서울특별시 성북구,S010002302,서울석관초등학교,0,0,0,646.0,1.1,6.0,0.0,16.0,4.5,0.0,18.8,유,유,시설없음,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.05194805194805195,0.37012987012987014,0.3961038961038961,0.17532467532467533,0.006493506493506494
S010002302-2022,서울특별시 성북구,S010002302,서울석관초등학교,0,0,0,640.0,4.6,6.0,0.0,16.0,5.5,0.0,17.6,유,유,시설없음,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.35714285714285715,0.5,0.0761904761904762,0.0
S010002302-2023,서울특별시 성북구,S010002302,서울석관초등학교,0,0,0,615.0,6.9,5.0,0.0,16.0,4.0,0.0,16.2,유,유,시설없음,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.045454545454545456,0.45454545454545453,0.4292929292929293,0.06565656565656566,0.005050505050505051
