학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S010001424-2021,서울특별시 동대문구,S010001424,서울종암초등학교,0,0,0,0,0,0,0,0,540,12,11,10,3,3,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001424-2022,서울특별시 동대문구,S010001424,서울종암초등학교,14,25,25,25,280,564,564,564,498,14,13,18,10,12,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001424-2023,서울특별시 동대문구,S010001424,서울종암초등학교,13,25,25,25,270,536,536,536,459,12,11,8,10,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001424-2024,서울특별시 동대문구,S010001424,서울종암초등학교,20,25,25,25,355,520,520,520,518,12,11,8,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001425-2021,서울특별시 중랑구,S010001425,서울중곡초등학교,44,1,0,0,210,120,0,0,927,10,9,5,1,4,1,1,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010001425-2022,서울특별시 중랑구,S010001425,서울중곡초등학교,42,1,0,0,246,125,0,0,850,10,9,5,3,2,0,1,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010001425-2023,서울특별시 중랑구,S010001425,서울중곡초등학교,40,1,0,0,354,186,0,0,835,12,11,12,9,2,1,3,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010001425-2024,서울특별시 중랑구,S010001425,서울중곡초등학교,38,1,0,0,484,205,0,0,814,12,11,8,10,0,2,2,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010001426-2021,서울특별시 중랑구,S010001426,서울중랑초등학교,0,0,0,16,0,0,0,345,695,12,11,8,5,7,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001426-2022,서울특별시 중랑구,S010001426,서울중랑초등학교,2,1,32,16,128,5,673,325,680,12,11,8,5,5,2,3,적정설치,미설치,단순설치,적정설치,미설치,미설치,적정설치,미설치,미설치,단순설치,단순설치
S010001426-2023,서울특별시 중랑구,S010001426,서울중랑초등학교,2,1,31,11,124,4,656,330,647,12.3,12.4,10.8,6.5,4,3,3,적정설치,적정설치,단순설치,적정설치,미설치,미설치,적정설치,미설치,미설치,단순설치,단순설치
S010001426-2024,서울특별시 중랑구,S010001426,서울중랑초등학교,2,31,31,0,124,666,666,0,655,12,11,12,7,8,3,3,적정설치,적정설치,단순설치,적정설치,미설치,단순설치,적정설치,미설치,단순설치,단순설치,단순설치
S010001427-2021,서울특별시 중랑구,S010001427,서울중목초등학교,0,0,0,0,0,0,0,0,371,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001427-2022,서울특별시 중랑구,S010001427,서울중목초등학교,1,0,26,0,18,0,386,0,373,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001427-2023,서울특별시 중랑구,S010001427,서울중목초등학교,1,0,26,0,18,0,386,0,399,12,11,8,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001427-2024,서울특별시 중랑구,S010001427,서울중목초등학교,1,0,26,0,19,0,369,0,379,12,11,8,8,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001428-2021,서울특별시 중랑구,S010001428,서울중화초등학교,0,0,0,0,0,0,0,0,1414,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010001428-2022,서울특별시 중랑구,S010001428,서울중화초등학교,1,0,0,0,12,0,0,0,1304,12,11,39,8,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010001428-2023,서울특별시 중랑구,S010001428,서울중화초등학교,1,0,2,3,10,0,1226,10,1215,12,11,32,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010001428-2024,서울특별시 중랑구,S010001428,서울중화초등학교,1,0,65,3,10,0,1115,10,1111,15,14,11.7,8,2,2.6,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010001429-2021,서울특별시 중랑구,S010001429,서울중흥초등학교,0,0,0,0,0,0,0,0,229,7,6,7,2,2,2,7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치
S010001429-2022,서울특별시 중랑구,S010001429,서울중흥초등학교,0,0,22,0,0,0,202,0,196,5,10,9,1,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치
S010001429-2023,서울특별시 중랑구,S010001429,서울중흥초등학교,0,0,23,0,0,0,203,0,190,10,9,3,3,2,0,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치
S010001429-2024,서울특별시 중랑구,S010001429,서울중흥초등학교,0,1,24,0,0,8,211,0,200,1,1,6,2,2,0,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치
S010001430-2021,서울특별시 동대문구,S010001430,서울청량초등학교,0,0,0,2,0,0,0,112,728,12,11,8,5,5,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001430-2022,서울특별시 동대문구,S010001430,서울청량초등학교,0,0,2,0,0,0,96,0,673,12,11,8,5,5,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001430-2023,서울특별시 동대문구,S010001430,서울청량초등학교,0,0,2,0,0,0,92,0,651,10,9,3,3,2,0,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001430-2024,서울특별시 동대문구,S010001430,서울청량초등학교,0,0,2,0,0,0,92,0,593,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001431-2021,서울특별시 동대문구,S010001431,서울홍릉초등학교,4,0,0,0,87,0,0,0,414,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001431-2022,서울특별시 동대문구,S010001431,서울홍릉초등학교,0,20,20,0,0,45,385,0,385,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001431-2023,서울특별시 동대문구,S010001431,서울홍릉초등학교,18,18,18,26,362,54,362,362,349,12,11,10,10,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001431-2024,서울특별시 동대문구,S010001431,서울홍릉초등학교,16,16,16,22,331,32,331,331,331,12,11,10,10,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010001432-2021,서울특별시 동대문구,S010001432,서울홍파초등학교,5,0,0,1,78,0,0,35,253,11,10,7,5,5,2,2,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,미설치,적정설치,단순설치,미설치,미설치
S010001432-2022,서울특별시 동대문구,S010001432,서울홍파초등학교,1,5,16,16,17,75,241,241,233,10,9,3,2,3,0,1,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,미설치,적정설치,단순설치,미설치,미설치
S010001432-2023,서울특별시 동대문구,S010001432,서울홍파초등학교,1,0,2,3,17,0,220,112,211,10,9,3,2,3,0,1,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,미설치,적정설치,단순설치,미설치,미설치
S010001432-2024,서울특별시 동대문구,S010001432,서울홍파초등학교,1,0,13,3,17,0,219,112,219,12,11,8,10,4,2,2,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,미설치,적정설치,단순설치,미설치,미설치
S010001433-2021,서울특별시 동대문구,S010001433,서울휘경초등학교,0,0,0,0,0,0,0,0,329,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001433-2022,서울특별시 동대문구,S010001433,서울휘경초등학교,0,0,16,0,0,0,304,0,296,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001433-2023,서울특별시 동대문구,S010001433,서울휘경초등학교,1,0,15,0,21,0,294,0,279,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001433-2024,서울특별시 동대문구,S010001433,서울휘경초등학교,0,0,15,0,0,0,286,0,275,12,11,8,6,4,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001434-2021,서울특별시 동대문구,S010001434,은석초등학교,0,0,0,0,0,0,0,0,643,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001434-2022,서울특별시 동대문구,S010001434,은석초등학교,0,0,0,0,0,0,0,0,647,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001434-2023,서울특별시 동대문구,S010001434,은석초등학교,0,0,0,0,0,0,0,0,676,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001434-2024,서울특별시 동대문구,S010001434,은석초등학교,0,12,12,0,0,330,363,0,693,12,11,8,10,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001545-2021,서울특별시 동작구,S010001545,강남중학교,0,0,0,17,0,0,0,383,378,9,9,9,4,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001545-2022,서울특별시 동작구,S010001545,강남중학교,2,0,4,15,9,0,30,316,315,10,10,10,6,4,4,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001545-2023,서울특별시 동작구,S010001545,강남중학교,5,1,17,0,30,35,265,0,288,10,10,10,6,4,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001545-2024,서울특별시 동작구,S010001545,강남중학교,1,1,23,0,15,15,260,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001546-2021,서울특별시 동작구,S010001546,강현중학교,0,1,0,0,0,7,0,0,378,14,10,15,8,2,12,4,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치
S010001546-2022,서울특별시 동작구,S010001546,강현중학교,1,1,1,0,20,14,20,0,363,13,6,15,4,2,12,6,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치
S010001546-2023,서울특별시 동작구,S010001546,강현중학교,1,1,1,0,20,14,20,0,364,13,6,15,4,2,12,6,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001546-2024,서울특별시 동작구,S010001546,강현중학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
S010001547-2021,서울특별시 관악구,S010001547,관악중학교,0,0,0,1,0,0,0,18,306,15,2,15,1,2,5,3,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,단순설치
S010001547-2022,서울특별시 관악구,S010001547,관악중학교,1,0,0,1,18,0,0,18,294,11,8,13,2,3,1,2,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,단순설치
S010001547-2023,서울특별시 관악구,S010001547,관악중학교,1,0,0,0,17,0,0,0,287,8,8,12,5,4,3,2,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,단순설치
S010001547-2024,서울특별시 관악구,S010001547,관악중학교,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,단순설치
S010001548-2021,서울특별시 관악구,S010001548,광신중학교,0,0,0,2,0,0,0,32,298,10,10,12,6,6,4,3,미설치,적정설치,미설치,단순설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치
S010001548-2022,서울특별시 관악구,S010001548,광신중학교,2,0,4,0,33,0,21,0,276,10,10,10,10,10,4,2,미설치,적정설치,미설치,단순설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치
S010001548-2023,서울특별시 관악구,S010001548,광신중학교,2,0,3,4,32,0,21,256,258,10,10,10,10,0,4,2,미설치,적정설치,미설치,단순설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치
S010001548-2024,서울특별시 관악구,S010001548,광신중학교,2,0,3,4,32,0,21,244,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치
S010001549-2021,서울특별시 동작구,S010001549,국사봉중학교,0,0,0,0,0,0,0,0,332,8,5,10,2,3,4,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001549-2022,서울특별시 동작구,S010001549,국사봉중학교,0,0,0,0,0,0,0,0,334,5,5,8,3,3,1,4,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001549-2023,서울특별시 동작구,S010001549,국사봉중학교,1,0,0,1,15,0,0,1,343,10,10,11,11,2,3,6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001549-2024,서울특별시 동작구,S010001549,국사봉중학교,1,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001550-2021,서울특별시 관악구,S010001550,난우중학교,0,0,0,0,0,0,0,0,521,12,10,12,4,4,3,2,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치
S010001550-2022,서울특별시 관악구,S010001550,난우중학교,0,0,0,0,0,0,0,0,532,12,10,12,4,4,3,2,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치
S010001550-2023,서울특별시 관악구,S010001550,난우중학교,1,1,42,0,1,25,531,0,521,10,10,10,6,4,3,2,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치
S010001550-2024,서울특별시 관악구,S010001550,난우중학교,1,1,40,0,1,25,500,0,0,0,0,0,0,0,0,0,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001551-2021,서울특별시 관악구,S010001551,남강중학교,0,0,0,0,0,0,0,0,363,8,8,5,5,5,1,1,적정설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,미설치,미설치,단순설치,단순설치
S010001551-2022,서울특별시 관악구,S010001551,남강중학교,0,1,0,0,0,14,0,0,352,8,8,5,5,5,1,1,적정설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,미설치,미설치,단순설치,단순설치
S010001551-2023,서울특별시 관악구,S010001551,남강중학교,6,3,16,0,14,17,324,0,346,8,8,5,2,3,1,1,적정설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치,미설치,미설치,단순설치,단순설치
S010001551-2024,서울특별시 관악구,S010001551,남강중학교,6,1,16,0,14,18,320,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,미설치,단순설치,단순설치
S010001552-2021,서울특별시 관악구,S010001552,남서울중학교,1,1,0,0,9,8,0,0,322,9,7,6,5,2,3,6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010001552-2022,서울특별시 관악구,S010001552,남서울중학교,1,1,1,2,65,13,80,120,314,18,8,7,3,3,1,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S010001552-2023,서울특별시 관악구,S010001552,남서울중학교,1,1,1,2,65,13,80,120,275,8,8,5,5,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S010001552-2024,서울특별시 관악구,S010001552,남서울중학교,1,1,1,2,65,13,80,120,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S010001553-2021,서울특별시 동작구,S010001553,남성중학교,0,1,0,1,0,8,0,13,332,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001553-2022,서울특별시 동작구,S010001553,남성중학교,1,1,0,1,13,13,0,20,327,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001553-2023,서울특별시 동작구,S010001553,남성중학교,1,1,0,1,15,17,0,304,297,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001553-2024,서울특별시 동작구,S010001553,남성중학교,1,1,0,1,13,15,0,200,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001554-2021,서울특별시 관악구,S010001554,당곡중학교,0,1,0,0,0,11,0,0,553,18,12,16,6,6,3,3,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,단순설치
S010001554-2022,서울특별시 관악구,S010001554,당곡중학교,0,1,0,0,0,9,0,0,574,10,10,10,5,5,3,4,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,단순설치
S010001554-2023,서울특별시 관악구,S010001554,당곡중학교,0,1,2,2,0,15,20,12,530,10,10,10,5,5,3,4,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,단순설치
S010001554-2024,서울특별시 관악구,S010001554,당곡중학교,0,1,2,2,0,15,20,12,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001555-2021,서울특별시 동작구,S010001555,대방중학교,1,0,0,0,33,0,0,0,826,14.7,8,15.8,4.5,5.5,3,2.3,적정설치,적정설치,적정설치,단순설치,미설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치
S010001555-2022,서울특별시 동작구,S010001555,대방중학교,1,1,0,1,810,24,0,20,804,14.3,8.9,14.5,4.4,6,2.5,2.6,적정설치,적정설치,적정설치,단순설치,미설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치
S010001555-2023,서울특별시 동작구,S010001555,대방중학교,1,1,0,0,759,73,0,0,754,16.5,8.3,11.5,8,2.6,3.3,3.3,적정설치,적정설치,적정설치,단순설치,미설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치
S010001555-2024,서울특별시 동작구,S010001555,대방중학교,1,1,0,0,703,10,0,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,단순설치,미설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치
S010001556-2021,서울특별시 동작구,S010001556,동양중학교,0,0,0,0,0,0,0,0,372,8,8,5,2,3,1,1,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
S010001556-2022,서울특별시 동작구,S010001556,동양중학교,1,1,1,1,19,9,115,85,360,8,8,5,3,2,1,1,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
S010001556-2023,서울특별시 동작구,S010001556,동양중학교,1,1,1,6,21,14,110,55,362,8,8,5,2,3,1,1,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
S010001556-2024,서울특별시 동작구,S010001556,동양중학교,1,1,1,6,23,16,112,57,0,0,0,0,0,0,0,0,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
S010001557-2021,서울특별시 동작구,S010001557,동작중학교,0,1,0,0,0,18,0,0,395,6,5,6,3,2,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001557-2022,서울특별시 동작구,S010001557,동작중학교,0,1,2,0,0,18,36,0,380,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001557-2023,서울특별시 동작구,S010001557,동작중학교,0,1,2,0,0,20,37,0,394,15,15,15,15,2,6,4,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001557-2024,서울특별시 동작구,S010001557,동작중학교,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001558-2021,서울특별시 동작구,S010001558,문창중학교,0,1,1,18,0,21,45,470,470,11,8,13,4,4,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001558-2022,서울특별시 동작구,S010001558,문창중학교,0,0,0,0,0,0,0,0,441,10,9,11,5,5,5,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001558-2023,서울특별시 동작구,S010001558,문창중학교,5,1,0,0,120,15,0,0,388,6,3,9,3,1,1,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001558-2024,서울특별시 동작구,S010001558,문창중학교,2,2,2,0,21,23,21,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001559-2021,서울특별시 관악구,S010001559,미성중학교,0,2,0,1,0,12,0,20,473,10,1,5,1.7,3,4,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010001559-2022,서울특별시 관악구,S010001559,미성중학교,1,2,1,1,20,12,20,20,469,12,11,12,5,4,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010001559-2023,서울특별시 관악구,S010001559,미성중학교,1,2,1,1,20,12,20,20,454,12,10,10,5,6.5,1,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010001559-2024,서울특별시 관악구,S010001559,미성중학교,1,2,1,1,20,12,20,20,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010001560-2021,서울특별시 관악구,S010001560,봉림중학교,0,1,1,2,0,15,14,39,274,8,8,6,4,3,2,2,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치
S010001560-2022,서울특별시 관악구,S010001560,봉림중학교,0,2,0,0,0,16,0,0,275,10,10,11,4,6,3.3,2.3,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010001560-2023,서울특별시 관악구,S010001560,봉림중학교,0,1,0,0,0,11,0,0,275,11,10,12.3,3.3,2,3,1.6,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001560-2024,서울특별시 관악구,S010001560,봉림중학교,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010001561-2021,서울특별시 관악구,S010001561,봉원중학교,0,1,0,2,0,15,0,27,528,26,9,19,4,8,8,4,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치
S010001561-2022,서울특별시 관악구,S010001561,봉원중학교,0,1,0,2,0,9,0,28,509,16,2,10,4,4,7,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치
S010001561-2023,서울특별시 관악구,S010001561,봉원중학교,0,1,1,0,0,11,60,0,486,16,1,6,1,2,6,5,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치
S010001561-2024,서울특별시 관악구,S010001561,봉원중학교,2,1,1,1,62,10,62,9,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,단순설치
S010001562-2021,서울특별시 동작구,S010001562,사당중학교,0,0,0,2,0,0,0,108,501,13,12,8,3,3,2,2,적정설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치
S010001562-2022,서울특별시 동작구,S010001562,사당중학교,0,2,0,2,0,13,0,28,486,10,2,5,2,3,1,3,적정설치,단순설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치
S010001562-2023,서울특별시 동작구,S010001562,사당중학교,0,2,0,2,0,13,0,28,495,10,10,10,4,6,3,3,적정설치,단순설치,단순설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치
