학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S010000645-2022,서울특별시 강북구,S010000645,성암국제무역고등학교,1,1,1,1,24,14,405,24,486,10,10,10,5,5,3,2,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치
S010000645-2023,서울특별시 강북구,S010000645,성암국제무역고등학교,0,0,0,0,0,0,0,0,407,30,30,30,30,2,9,6,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치
S010000645-2024,서울특별시 강북구,S010000645,성암국제무역고등학교,0,0,22,0,0,0,350,0,373,8,8,25.7,7,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치
S010000646-2021,서울특별시 강서구,S010000646,서울항공비즈니스고등학교,0,0,0,0,0,0,0,0,416,14,4,15,6,3,6,4,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치
S010000646-2022,서울특별시 강서구,S010000646,서울항공비즈니스고등학교,0,0,0,0,0,0,0,0,293,8,7,7,5,2,6,2,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치
S010000646-2023,서울특별시 강서구,S010000646,서울항공비즈니스고등학교,0,0,0,0,0,0,0,0,267,10,10,10,10,2,3,2,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치
S010000646-2024,서울특별시 강서구,S010000646,서울항공비즈니스고등학교,0,0,0,3,0,0,0,10,267,10,10,10,10,2,3,2,단순설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치
S010000647-2021,서울특별시 중랑구,S010000647,송곡관광고등학교,0,0,0,0,0,0,0,0,486,10,8,10,5,4,6,3,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010000647-2022,서울특별시 중랑구,S010000647,송곡관광고등학교,0,0,0,0,0,0,0,0,433,10,8,5,2,3,2,4,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010000647-2023,서울특별시 중랑구,S010000647,송곡관광고등학교,0,0,0,0,0,0,0,0,361,9.6,8.4,10.4,3.5,3.5,4,4,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010000647-2024,서울특별시 중랑구,S010000647,송곡관광고등학교,0,0,2,2,0,0,284,284,295,10,10,10,7,3,2.6,2.6,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010000649-2021,서울특별시 노원구,S010000649,염광메디텍고등학교,0,0,0,0,0,0,0,0,460,10,10,10,3,5,6,2,미설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,단순설치,단순설치,적정설치
S010000649-2022,서울특별시 노원구,S010000649,염광메디텍고등학교,52,0,0,52,421,0,0,421,422,10,8,7,3,2,1,2,미설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,단순설치,단순설치,적정설치
S010000649-2023,서울특별시 노원구,S010000649,염광메디텍고등학교,3,2,47,3,20,5,335,335,333,11,8,12,6,3,1,2,미설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,단순설치,적정설치
S010000649-2024,서울특별시 노원구,S010000649,염광메디텍고등학교,3,3,42,3,29,16,291,291,291,10,10,14,10,10,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010000650-2021,서울특별시 중랑구,S010000650,이화여자대학교병설미디어고등학교,0,1,0,0,0,11,0,0,582,19,15,16,5,7,9,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000650-2022,서울특별시 중랑구,S010000650,이화여자대학교병설미디어고등학교,0,1,0,0,0,12,0,0,537,9,8,7,3,4,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000650-2023,서울특별시 중랑구,S010000650,이화여자대학교병설미디어고등학교,1,0,0,0,13,0,0,0,498,6,7,8,3,3,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
